date,left_price,right_price,spread,signal,prev_signal,beta,left_shares,right_shares,gross_pnl,costs,net_pnl,equity_curve,returns
2022-03-01,87.9805,26.4234,0.5835861222747383,1.0,0.0,0.2936993297119846,-561.9618617391613,1913.3917067166874,1015.4757889173002,0.0,1015.4757889173002,101015.4757889173,0.0
2022-03-02,88.9852,27.2492,1.114306405713105,1.0,1.0,0.2936993297119846,-550.1626232414218,1873.2171564059652,-512.2808701593657,0.0,-512.2808701593657,100503.19491875794,-0.005071310768558157
2022-03-03,91.6569,27.7604,0.840829906521602,1.0,1.0,0.2936993297119846,-537.1241593766227,1828.823238729731,116.9587810525154,0.0,116.9587810525154,100620.15369981046,0.0011637319703821092
2022-03-04,93.9492,28.4976,0.9047829330228154,1.0,1.0,0.2936993297119846,-523.6176606803979,1782.835736104274,-930.7711176835691,0.0,-930.7711176835691,99689.38258212688,-0.009250344821181922
2022-03-07,94.8565,28.242,0.3827095311751343,1.0,1.0,0.2936993297119846,-523.516174507949,1782.4901916573444,693.8242994276577,0.0,693.8242994276577,100383.20688155454,0.006959861536468548
2022-03-08,92.8955,28.0553,0.7719539167403333,1.0,1.0,0.2936993297119846,-530.7309638007764,1807.0554138521059,-160.239476610941,0.0,-160.239476610941,100222.9674049436,-0.0015962777200374534
2022-03-09,92.6615,27.8979,0.683279559892938,1.0,1.0,0.2936993297119846,-532.9085430436069,1814.4697285016011,61.33989299254432,0.0,61.33989299254432,100284.30729793615,0.0006120342929452072
2022-03-10,93.6179,28.2126,0.7170855209563953,1.0,1.0,0.2936993297119846,-527.2110400047179,1795.0706272354312,-209.57182919639106,0.0,-209.57182919639106,100074.73546873976,-0.002089776903716034
2022-03-11,93.1785,27.9668,0.6003370064318432,1.0,1.0,0.2936993297119846,-530.7825958973787,1807.2312130160087,343.1985511667839,0.0,343.1985511667839,100417.93401990655,0.003429422516674885
2022-03-14,92.3981,27.9275,0.7902399633390758,1.0,1.0,0.2936993297119846,-533.3707611119089,1816.0435082877357,126.00206737454187,0.0,126.00206737454187,100543.9360872811,0.0012547765357289187
2022-03-15,93.7349,28.3895,0.8596226993800968,1.0,1.0,0.2936993297119846,-525.2192422191524,1788.2888692126303,515.130861426121,0.0,515.130861426121,101059.06694870722,0.005123440373161259
2022-03-16,92.7204,28.3796,1.1476806693729031,1.0,1.0,0.2936993297119846,-528.126786045629,1798.1885983993734,438.23960936144863,0.0,438.23960936144863,101497.30655806867,0.004336469973385881
2022-03-17,92.5937,28.5861,1.3913923744474097,1.0,1.0,0.2936993297119846,-526.5239823767703,1792.7313041303312,393.76472077836894,0.0,393.76472077836894,101891.07127884704,0.003879558326536303
2022-03-18,91.7454,28.5566,1.6110375158420887,1.0,1.0,0.2936993297119846,-529.1673631560135,1801.7315997109697,424.05330649284923,0.0,424.05330649284923,102315.12458533989,0.004161829895107605
2022-03-21,92.3499,28.9695,1.8463962710311925,1.0,1.0,0.2936993297119846,-523.5972484556011,1782.766235690988,-285.67465875737236,0.0,-285.67465875737236,102029.44992658251,-0.002792105858397287
2022-03-22,92.8955,28.9695,1.6861539167403343,1.0,1.0,0.2936993297119846,-522.1057247081883,1777.6878320430276,-124.72359735489181,0.0,-124.72359735489181,101904.72632922762,-0.0012224274211479758
2022-03-23,93.6366,29.117,1.6159933434907856,1.0,1.0,0.2936993297119846,-518.7383785759239,1766.2225483613572,59.88381327623429,0.0,59.88381327623429,101964.61014250385,0.0005876451017861051
2022-03-24,94.0564,29.2742,1.6498983648776928,1.0,1.0,0.2936993297119846,-516.1811317904545,1757.5155254751382,887.0154873021124,0.0,887.0154873021124,102851.62562980596,0.008699248553615258
2022-03-25,94.4466,29.8935,2.1545968864240734,0.0,1.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,102851.62562980596,0.0
2022-03-28,95.1976,29.864,1.9045286898103768,1.0,0.0,0.2936993297119846,-507.9240714146282,1729.4015342585988,178.81950703863617,0.0,178.81950703863617,103030.4451368446,0.0017386162439694264
2022-03-29,96.2514,30.2769,2.0079283361598854,1.0,1.0,0.2936993297119846,-501.6567716308904,1708.0623647416514,-390.4569810414738,0.0,-390.4569810414738,102639.98815580313,-0.003789724294822383
2022-03-30,96.963,30.2573,1.7793318931368418,1.0,1.0,0.2936993297119846,-500.03914032983886,1702.5545847183269,-405.00511708223144,0.0,-405.00511708223144,102234.98303872091,-0.003945880395732737
2022-03-31,97.3041,30.1196,1.5414510517720785,1.0,1.0,0.2936993297119846,-500.3587615787971,1703.6428447741862,2.6757252589792415,0.0,2.6757252589792415,102237.65876397988,2.6172305990002087e-05
2022-04-01,99.0056,30.6209,1.5430216422671386,1.0,1.0,0.2936993297119846,-491.9687434004943,1675.0761531629712,53.70971448259979,0.0,53.70971448259979,102291.36847846248,0.0005253417882600253
2022-04-04,98.1603,30.4047,1.5750856856726756,1.0,1.0,0.2936993297119846,-495.8263349744659,1688.2106454267246,-155.90984075052282,0.0,-155.90984075052282,102135.45863771196,-0.0015241739656982611
2022-04-05,98.8091,30.5029,1.4827335605555447,1.0,1.0,0.2936993297119846,-493.4210336941871,1680.0209730749436,-305.36692030181393,0.0,-305.36692030181393,101830.09171741015,-0.002989822774331352
2022-04-06,101.905,31.2304,1.300969805700209,1.0,1.0,0.2936993297119846,-480.21606466029385,1635.060131499845,909.1461955005368,0.0,909.1461955005368,102739.23791291068,0.008928070083875861
2022-04-07,100.815,31.4663,1.8570020750862746,1.0,1.0,0.2936993297119846,-480.8783535333673,1637.3151208923061,952.3337782584642,0.0,952.3337782584642,103691.57169116916,0.009269426147249904
2022-04-08,100.441,31.9381,2.4386456243985535,1.0,1.0,0.2936993297119846,-478.0452814193085,1627.6689561671872,321.83070667437767,0.0,321.83070667437767,104013.40239784353,0.0031037306255989883
2022-04-11,98.8975,31.6825,2.6363705398090076,1.0,1.0,0.2936993297119846,-483.62581590040855,1646.669797900713,-395.47272689004313,0.0,-395.47272689004313,103617.92967095348,-0.003802132396144464
2022-04-12,99.7823,31.7022,2.396205372879841,1.0,1.0,0.2936993297119846,-481.4096393231501,1639.1240654013172,141.69529308848965,0.0,141.69529308848965,103759.62496404197,0.0013674785197741457
2022-04-13,99.7229,31.7712,2.4826511130647333,1.0,1.0,0.2936993297119846,-481.00317322927344,1637.7401123147533,227.69735281925475,0.0,227.69735281925475,103987.32231686123,0.002194469697612833
2022-04-14,99.5168,31.8497,2.621682544918368,1.0,1.0,0.2936993297119846,-480.8616660044309,1637.258302482292,-13.430921610001889,0.0,-13.430921610001889,103973.89139525122,-0.0001291592216317028
