date,left_price,right_price,spread,signal,prev_signal,beta,left_shares,right_shares,gross_pnl,costs,net_pnl,equity_curve,returns
2022-03-01,87.9805,26.4234,0.5835861222747383,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-02,88.9852,27.2492,1.114306405713105,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-03,91.6569,27.7604,0.840829906521602,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-04,93.9492,28.4976,0.9047829330228154,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-07,94.8565,28.242,0.3827095311751343,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-03-08,92.8955,28.0553,0.7719539167403333,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-03-09,92.6615,27.8979,0.683279559892938,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-10,93.6179,28.2126,0.7170855209563953,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-03-11,93.1785,27.9668,0.6003370064318432,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-03-14,92.3981,27.9275,0.7902399633390758,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-15,93.7349,28.3895,0.8596226993800968,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-03-16,92.7204,28.3796,1.1476806693729031,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-17,92.5937,28.5861,1.3913923744474097,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-03-18,91.7454,28.5566,1.6110375158420887,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-21,92.3499,28.9695,1.8463962710311925,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-22,92.8955,28.9695,1.6861539167403343,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-23,93.6366,29.117,1.6159933434907856,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-24,94.0564,29.2742,1.6498983648776928,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-25,94.4466,29.8935,2.1545968864240734,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-28,95.1976,29.864,1.9045286898103768,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-29,96.2514,30.2769,2.0079283361598854,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-30,96.963,30.2573,1.7793318931368418,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-03-31,97.3041,30.1196,1.5414510517720785,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-01,99.0056,30.6209,1.5430216422671386,0.0,0.0,0.2936993297119846,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2022-04-04,98.1603,30.4047,1.5750856856726756,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-05,98.8091,30.5029,1.4827335605555447,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-06,101.905,31.2304,1.300969805700209,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-07,100.815,31.4663,1.8570020750862746,0.0,0.0,0.2936993297119846,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-08,100.441,31.9381,2.4386456243985535,-1.0,0.0,0.2936993297119846,478.0452814193085,-1627.6689561671872,-321.83070667437767,0.0,-321.83070667437767,99678.16929332563,-0.003218307066743753
2022-04-11,98.8975,31.6825,2.6363705398090076,-1.0,-1.0,0.2936993297119846,483.62581590040855,-1646.669797900713,395.47272689004313,0.0,395.47272689004313,100073.64202021567,0.003967495888957062
