strategy,final_equity,cumulative_return,annualized_return,volatility,max_drawdown,sharpe_ratio,trade_count
copula,109011.89719423025,0.07916035976529301,0.07285470103053981,0.060139240752292024,-0.02940586421046143,1.1994418151060597,57
bollinger,105402.01507934395,0.05402015079343947,0.049763105198514124,0.03333669834815763,-0.0174061285174818,1.4735298540902733,19
cointegration,105402.01507934395,0.05402015079343947,0.049763105198514124,0.03333669834815763,-0.0174061285174818,1.4735298540902733,19
ou,104097.74503768067,0.04097745037680656,0.03776658269065525,0.054601353248899934,-0.03558441463194051,0.7061828286266111,39
SPY_buy_and_hold,97129.08863554931,-0.0287091136445069,-0.02653028844039318,0.23330687633104943,-0.2209349179400113,0.001065677707826761,0
