date,left_price,right_price,spread,signal,prev_signal,beta,left_shares,right_shares,gross_pnl,costs,net_pnl,equity_curve,returns
2024-03-01,111.01,34.35,19.330171424161577,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-04,111.36,35.15,20.082815870593937,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-05,109.41,35.39,20.586653954756493,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-06,108.8,35.42,20.699187919545803,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-07,110.91,35.63,20.62370158232376,0.0,0.0,0.13530158162182168,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2024-03-08,108.75,35.6,20.88595299862689,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-11,108.76,35.89,21.174599982810676,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-12,109.94,35.96,21.084944116496928,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-13,109.98,36.08,21.199532053232048,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-14,110.01,35.69,20.805473005783394,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-15,110.41,35.41,20.471352373134664,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-18,110.28,36.01,21.088941578745505,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-19,110.74,36.03,21.04670285119947,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-20,112.64,36.75,21.509629846118006,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-21,114.53,37.51,22.013909856852763,0.0,0.0,0.13530158162182168,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2024-03-22,112.58,37.05,21.817747941015313,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-25,113.42,36.86,21.514094612452986,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-26,113.89,37.09,21.68050286909073,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-27,113.58,37.81,22.442446359393497,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-03-28,112.45,37.92,22.705337146626153,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2024-04-01,112.47,37.52,22.30263111499372,0.0,0.0,0.13530158162182168,0.0,0.0,-0.0,0.0,-0.0,100000.0,0.0
2024-04-02,110.56,37.3,22.34105713589139,-1.0,0.0,0.13530158162182168,258.9060823018421,-1913.5480842012958,257.6826152845573,0.0,257.6826152845573,100257.68261528456,0.0025768261528456016
2024-04-03,112.59,37.44,22.206394925199092,-1.0,-1.0,0.13530158162182168,256.8678969849931,-1898.4840672665498,599.3411905312576,0.0,599.3411905312576,100857.02380581581,0.005978007618938186
